"","Metric","Units","Amount","startDate","endDate"
"1","Basic earnings per common share","iso4217_USD_per_shares","9.22","2008-09-28","2009-09-26"
"2","Basic earnings per common share","iso4217_USD_per_shares","15.41","2009-09-27","2010-09-25"
"3","Basic earnings per common share","iso4217_USD_per_shares","28.05","2010-09-26","2011-09-24"
"4","Basic earnings per common share","iso4217_USD_per_shares","3.74","2009-09-27","2009-12-26"
"5","Basic earnings per common share","iso4217_USD_per_shares","3.39","2009-12-27","2010-03-27"
"6","Basic earnings per common share","iso4217_USD_per_shares","3.57","2010-03-28","2010-06-26"
"7","Basic earnings per common share","iso4217_USD_per_shares","4.71","2010-06-27","2010-09-25"
"8","Basic earnings per common share","iso4217_USD_per_shares","6.53","2010-09-26","2010-12-25"
"9","Basic earnings per common share","iso4217_USD_per_shares","6.49","2010-12-26","2011-03-26"
"10","Basic earnings per common share","iso4217_USD_per_shares","7.13","2011-06-26","2011-09-24"
"11","Basic earnings per common share","iso4217_USD_per_shares","7.89","2011-03-27","2011-06-25"
"12","Diluted earnings per common share","iso4217_USD_per_shares","9.08","2008-09-28","2009-09-26"
"13","Diluted earnings per common share","iso4217_USD_per_shares","15.15","2009-09-27","2010-09-25"
"14","Diluted earnings per common share","iso4217_USD_per_shares","27.68","2010-09-26","2011-09-24"
"15","Diluted earnings per common share","iso4217_USD_per_shares","3.67","2009-09-27","2009-12-26"
"16","Diluted earnings per common share","iso4217_USD_per_shares","3.33","2009-12-27","2010-03-27"
"17","Diluted earnings per common share","iso4217_USD_per_shares","3.51","2010-03-28","2010-06-26"
"18","Diluted earnings per common share","iso4217_USD_per_shares","4.64","2010-06-27","2010-09-25"
"19","Diluted earnings per common share","iso4217_USD_per_shares","6.43","2010-09-26","2010-12-25"
"20","Diluted earnings per common share","iso4217_USD_per_shares","6.40","2010-12-26","2011-03-26"
"21","Diluted earnings per common share","iso4217_USD_per_shares","7.05","2011-06-26","2011-09-24"
"22","Diluted earnings per common share","iso4217_USD_per_shares","7.79","2011-03-27","2011-06-25"
"23","Research and Development Expense","iso4217_USD","1333000000","2008-09-28","2009-09-26"
"24","Research and Development Expense","iso4217_USD","1782000000","2009-09-27","2010-09-25"
"25","Research and Development Expense","iso4217_USD","2429000000","2010-09-26","2011-09-24"
"26","Selling, General and Administrative Expense","iso4217_USD","4149000000","2008-09-28","2009-09-26"
"27","Selling, General and Administrative Expense","iso4217_USD","5517000000","2009-09-27","2010-09-25"
"28","Selling, General and Administrative Expense","iso4217_USD","7599000000","2010-09-26","2011-09-24"
"29","Total operating expenses","iso4217_USD","5482000000","2008-09-28","2009-09-26"
"30","Total operating expenses","iso4217_USD","7299000000","2009-09-27","2010-09-25"
"31","Total operating expenses","iso4217_USD","10028000000","2010-09-26","2011-09-24"
"32","Revenue, Net","iso4217_USD","42905000000","2008-09-28","2009-09-26"
"33","Revenue, Net","iso4217_USD","65225000000","2009-09-27","2010-09-25"
"34","Revenue, Net","iso4217_USD","108249000000","2010-09-26","2011-09-24"
"35","Revenue, Net","iso4217_USD","15683000000","2009-09-27","2009-12-26"
"36","Revenue, Net","iso4217_USD","13499000000","2009-12-27","2010-03-27"
"37","Revenue, Net","iso4217_USD","15700000000","2010-03-28","2010-06-26"
"38","Revenue, Net","iso4217_USD","20343000000","2010-06-27","2010-09-25"
"39","Revenue, Net","iso4217_USD","26741000000","2010-09-26","2010-12-25"
"40","Revenue, Net","iso4217_USD","24667000000","2010-12-26","2011-03-26"
"41","Revenue, Net","iso4217_USD","28270000000","2011-06-26","2011-09-24"
"42","Revenue, Net","iso4217_USD","28571000000","2011-03-27","2011-06-25"
"43","Cost of Goods and Services Sold","iso4217_USD","25683000000","2008-09-28","2009-09-26"
"44","Cost of Goods and Services Sold","iso4217_USD","39541000000","2009-09-27","2010-09-25"
"45","Cost of Goods and Services Sold","iso4217_USD","64431000000","2010-09-26","2011-09-24"
"46","Gross margin","iso4217_USD","17222000000","2008-09-28","2009-09-26"
"47","Gross margin","iso4217_USD","25684000000","2009-09-27","2010-09-25"
"48","Gross margin","iso4217_USD","43818000000","2010-09-26","2011-09-24"
"49","Gross margin","iso4217_USD","6411000000","2009-09-27","2009-12-26"
"50","Gross margin","iso4217_USD","5625000000","2009-12-27","2010-03-27"
"51","Gross margin","iso4217_USD","6136000000","2010-03-28","2010-06-26"
"52","Gross margin","iso4217_USD","7512000000","2010-06-27","2010-09-25"
"53","Gross margin","iso4217_USD","10298000000","2010-09-26","2010-12-25"
"54","Gross margin","iso4217_USD","10218000000","2010-12-26","2011-03-26"
"55","Gross margin","iso4217_USD","11380000000","2011-06-26","2011-09-24"
"56","Gross margin","iso4217_USD","11922000000","2011-03-27","2011-06-25"
"57","Operating income","iso4217_USD","11740000000","2008-09-28","2009-09-26"
"58","Operating income","iso4217_USD","18385000000","2009-09-27","2010-09-25"
"59","Operating income","iso4217_USD","33790000000","2010-09-26","2011-09-24"
