"","Metric","Units","Amount","startDate","endDate"
"1","Property Plant And Equipment Net","iso4217_USD","2414000000",NA,"2010-12-31"
"2","Property Plant And Equipment Net","iso4217_USD","4417000000",NA,"2011-12-31"
"3","Deferred Tax Assets Net Noncurrent","iso4217_USD","22000000",NA,"2010-12-31"
"4","Deferred Tax Assets Net Noncurrent","iso4217_USD","28000000",NA,"2011-12-31"
"5","Goodwill","iso4217_USD","1234000000",NA,"2009-12-31"
"6","Goodwill","iso4217_USD","1349000000",NA,"2010-12-31"
"7","Goodwill","iso4217_USD","1955000000",NA,"2011-12-31"
"8","Other Assets Noncurrent","iso4217_USD","1265000000",NA,"2010-12-31"
"9","Other Assets Noncurrent","iso4217_USD","1388000000",NA,"2011-12-31"
"10","Assets","iso4217_USD","18797000000",NA,"2010-12-31"
"11","Assets","iso4217_USD","25278000000",NA,"2011-12-31"
"12","Cash And Cash Equivalents At Carrying Value","iso4217_USD","2769000000",NA,"2008-12-31"
"13","Cash And Cash Equivalents At Carrying Value","iso4217_USD","3444000000",NA,"2009-12-31"
"14","Cash And Cash Equivalents At Carrying Value","iso4217_USD","3777000000",NA,"2010-12-31"
"15","Cash And Cash Equivalents At Carrying Value","iso4217_USD","5269000000",NA,"2011-12-31"
"16","Marketable Securities Current","iso4217_USD","4985000000",NA,"2010-12-31"
"17","Marketable Securities Current","iso4217_USD","4307000000",NA,"2011-12-31"
"18","Inventory Net","iso4217_USD","3202000000",NA,"2010-12-31"
"19","Inventory Net","iso4217_USD","4992000000",NA,"2011-12-31"
"20","Accounts Receivable Net Current","iso4217_USD","1587000000",NA,"2010-12-31"
"21","Accounts Receivable Net Current","iso4217_USD","2571000000",NA,"2011-12-31"
"22","Deferred Tax Assets Net Current","iso4217_USD","196000000",NA,"2010-12-31"
"23","Deferred Tax Assets Net Current","iso4217_USD","351000000",NA,"2011-12-31"
"24","Assets Current","iso4217_USD","13747000000",NA,"2010-12-31"
"25","Assets Current","iso4217_USD","17490000000",NA,"2011-12-31"
"26","Liabilities Noncurrent","iso4217_USD","1561000000",NA,"2010-12-31"
"27","Liabilities Noncurrent","iso4217_USD","2625000000",NA,"2011-12-31"
"28","Commitments And Contingencies","iso4217_USD",NA,NA,"2010-12-31"
"29","Commitments And Contingencies","iso4217_USD",NA,NA,"2011-12-31"
"30","Liabilities And Stockholders Equity","iso4217_USD","18797000000",NA,"2010-12-31"
"31","Liabilities And Stockholders Equity","iso4217_USD","25278000000",NA,"2011-12-31"
"32","Accounts Payable Current","iso4217_USD","8051000000",NA,"2010-12-31"
"33","Accounts Payable Current","iso4217_USD","11145000000",NA,"2011-12-31"
"34","Accrued Liabilities Current","iso4217_USD","2321000000",NA,"2010-12-31"
"35","Accrued Liabilities Current","iso4217_USD","3751000000",NA,"2011-12-31"
"36","Liabilities Current","iso4217_USD","10372000000",NA,"2010-12-31"
"37","Liabilities Current","iso4217_USD","14896000000",NA,"2011-12-31"
"38","Preferred Stock Value","iso4217_USD","0",NA,"2010-12-31"
"39","Preferred Stock Value","iso4217_USD","0",NA,"2011-12-31"
"40","Common Stock Value","iso4217_USD","5000000",NA,"2010-12-31"
"41","Common Stock Value","iso4217_USD","5000000",NA,"2011-12-31"
"42","Treasury Stock Value","iso4217_USD","600000000",NA,"2010-12-31"
"43","Treasury Stock Value","iso4217_USD","877000000",NA,"2011-12-31"
"44","Additional Paid In Capital","iso4217_USD","6325000000",NA,"2010-12-31"
"45","Additional Paid In Capital","iso4217_USD","6990000000",NA,"2011-12-31"
"46","Accumulated Other Comprehensive Income Loss Net Of Tax","iso4217_USD","-190000000",NA,"2010-12-31"
"47","Accumulated Other Comprehensive Income Loss Net Of Tax","iso4217_USD","-316000000",NA,"2011-12-31"
"48","Retained Earnings Accumulated Deficit","iso4217_USD","1324000000",NA,"2010-12-31"
"49","Retained Earnings Accumulated Deficit","iso4217_USD","1955000000",NA,"2011-12-31"
"50","Stockholders Equity","iso4217_USD","2672000000",NA,"2008-12-31"
"51","Stockholders Equity","iso4217_USD","5257000000",NA,"2009-12-31"
"52","Stockholders Equity","iso4217_USD","6864000000",NA,"2010-12-31"
"53","Stockholders Equity","iso4217_USD","7757000000",NA,"2011-12-31"
