"","Metric","Units","Amount","startDate","endDate"
"1","Cost of Goods and Services Sold","iso4217_USD","18978000000","2009-01-01","2009-12-31"
"2","Cost of Goods and Services Sold","iso4217_USD","26561000000","2010-01-01","2010-12-31"
"3","Cost of Goods and Services Sold","iso4217_USD","14896000000","2008-01-01","2008-12-31"
"4","Fulfillment Expense","iso4217_USD","2052000000","2009-01-01","2009-12-31"
"5","Fulfillment Expense","iso4217_USD","2898000000","2010-01-01","2010-12-31"
"6","Fulfillment Expense","iso4217_USD","1658000000","2008-01-01","2008-12-31"
"7","Marketing Expense","iso4217_USD","680000000","2009-01-01","2009-12-31"
"8","Marketing Expense","iso4217_USD","1029000000","2010-01-01","2010-12-31"
"9","Marketing Expense","iso4217_USD","482000000","2008-01-01","2008-12-31"
"10","Technology and content expense","iso4217_USD","1240000000","2009-01-01","2009-12-31"
"11","Technology and content expense","iso4217_USD","1734000000","2010-01-01","2010-12-31"
"12","Technology and content expense","iso4217_USD","1033000000","2008-01-01","2008-12-31"
"13","General and Administrative Expense","iso4217_USD","328000000","2009-01-01","2009-12-31"
"14","General and Administrative Expense","iso4217_USD","470000000","2010-01-01","2010-12-31"
"15","General and Administrative Expense","iso4217_USD","279000000","2008-01-01","2008-12-31"
"16","Other operating income (expense), net","iso4217_USD","-102000000","2009-01-01","2009-12-31"
"17","Other operating income (expense), net","iso4217_USD","-106000000","2010-01-01","2010-12-31"
"18","Other operating income (expense), net","iso4217_USD","24000000","2008-01-01","2008-12-31"
"19","Total operating expenses","iso4217_USD","23380000000","2009-01-01","2009-12-31"
"20","Total operating expenses","iso4217_USD","32798000000","2010-01-01","2010-12-31"
"21","Total operating expenses","iso4217_USD","18324000000","2008-01-01","2008-12-31"
"22","Sales Revenue, Net","iso4217_USD","24509000000","2009-01-01","2009-12-31"
"23","Sales Revenue, Net","iso4217_USD","34204000000","2010-01-01","2010-12-31"
"24","Sales Revenue, Net","iso4217_USD","19166000000","2008-01-01","2008-12-31"
"25","Sales Revenue, Net","iso4217_USD","4889000000","2009-01-01","2009-03-31"
"26","Sales Revenue, Net","iso4217_USD","7131000000","2010-01-01","2010-03-31"
"27","Sales Revenue, Net","iso4217_USD","4651000000","2009-04-01","2009-06-30"
"28","Sales Revenue, Net","iso4217_USD","6566000000","2010-04-01","2010-06-30"
"29","Sales Revenue, Net","iso4217_USD","5449000000","2009-07-01","2009-09-30"
"30","Sales Revenue, Net","iso4217_USD","9519000000","2009-10-01","2009-12-31"
"31","Sales Revenue, Net","iso4217_USD","7560000000","2010-07-01","2010-09-30"
"32","Sales Revenue, Net","iso4217_USD","12948000000","2010-10-01","2010-12-31"
"33","Income from operations","iso4217_USD","1129000000","2009-01-01","2009-12-31"
"34","Income from operations","iso4217_USD","1406000000","2010-01-01","2010-12-31"
"35","Income from operations","iso4217_USD","842000000","2008-01-01","2008-12-31"
"36","Interest income","iso4217_USD","37000000","2009-01-01","2009-12-31"
"37","Interest income","iso4217_USD","51000000","2010-01-01","2010-12-31"
"38","Interest income","iso4217_USD","83000000","2008-01-01","2008-12-31"
"39","Interest Expense","iso4217_USD","34000000","2009-01-01","2009-12-31"
"40","Interest Expense","iso4217_USD","39000000","2010-01-01","2010-12-31"
"41","Interest Expense","iso4217_USD","71000000","2008-01-01","2008-12-31"
"42","Other Nonoperating Income (Expense)","iso4217_USD","29000000","2009-01-01","2009-12-31"
"43","Other Nonoperating Income (Expense)","iso4217_USD","79000000","2010-01-01","2010-12-31"
"44","Other Nonoperating Income (Expense)","iso4217_USD","47000000","2008-01-01","2008-12-31"
"45","Total non-operating income (expense), net","iso4217_USD","32000000","2009-01-01","2009-12-31"
"46","Total non-operating income (expense), net","iso4217_USD","91000000","2010-01-01","2010-12-31"
"47","Total non-operating income (expense), net","iso4217_USD","59000000","2008-01-01","2008-12-31"
"48","Income before income taxes","iso4217_USD","1161000000","2009-01-01","2009-12-31"
"49","Income before income taxes","iso4217_USD","1497000000","2010-01-01","2010-12-31"
"50","Income before income taxes","iso4217_USD","901000000","2008-01-01","2008-12-31"
"51","Income before income taxes","iso4217_USD","248000000","2009-01-01","2009-03-31"
"52","Income before income taxes","iso4217_USD","401000000","2010-01-01","2010-03-31"
"53","Income before income taxes","iso4217_USD","179000000","2009-04-01","2009-06-30"
"54","Income before income taxes","iso4217_USD","297000000","2010-04-01","2010-06-30"
"55","Income before income taxes","iso4217_USD","262000000","2009-07-01","2009-09-30"
"56","Income before income taxes","iso4217_USD","471000000","2009-10-01","2009-12-31"
"57","Income before income taxes","iso4217_USD","292000000","2010-07-01","2010-09-30"
"58","Income before income taxes","iso4217_USD","506000000","2010-10-01","2010-12-31"
"59","Provision for income taxes","iso4217_USD","253000000","2009-01-01","2009-12-31"
"60","Provision for income taxes","iso4217_USD","352000000","2010-01-01","2010-12-31"
"61","Provision for income taxes","iso4217_USD","247000000","2008-01-01","2008-12-31"
"62","Provision for income taxes","iso4217_USD","69000000","2009-01-01","2009-03-31"
"63","Provision for income taxes","iso4217_USD","100000000","2010-01-01","2010-03-31"
"64","Provision for income taxes","iso4217_USD","39000000","2009-04-01","2009-06-30"
"65","Provision for income taxes","iso4217_USD","88000000","2010-04-01","2010-06-30"
"66","Provision for income taxes","iso4217_USD","60000000","2009-07-01","2009-09-30"
"67","Provision for income taxes","iso4217_USD","85000000","2009-10-01","2009-12-31"
"68","Provision for income taxes","iso4217_USD","79000000","2010-07-01","2010-09-30"
"69","Provision for income taxes","iso4217_USD","84000000","2010-10-01","2010-12-31"
"70","Equity-method investment activity, net of tax","iso4217_USD","-6000000","2009-01-01","2009-12-31"
"71","Equity-method investment activity, net of tax","iso4217_USD","7000000","2010-01-01","2010-12-31"
"72","Equity-method investment activity, net of tax","iso4217_USD","-9000000","2008-01-01","2008-12-31"
"73","Net income","iso4217_USD","902000000","2009-01-01","2009-12-31"
"74","Net income","iso4217_USD","1152000000","2010-01-01","2010-12-31"
"75","Net income","iso4217_USD","645000000","2008-01-01","2008-12-31"
"76","Net income","iso4217_USD","177000000","2009-01-01","2009-03-31"
"77","Net income","iso4217_USD","299000000","2010-01-01","2010-03-31"
"78","Net income","iso4217_USD","142000000","2009-04-01","2009-06-30"
"79","Net income","iso4217_USD","207000000","2010-04-01","2010-06-30"
"80","Net income","iso4217_USD","199000000","2009-07-01","2009-09-30"
"81","Net income","iso4217_USD","384000000","2009-10-01","2009-12-31"
"82","Net income","iso4217_USD","231000000","2010-07-01","2010-09-30"
"83","Net income","iso4217_USD","416000000","2010-10-01","2010-12-31"
"84","Basic earnings per share","iso4217_USD_per_shares","2.08","2009-01-01","2009-12-31"
"85","Basic earnings per share","iso4217_USD_per_shares","2.58","2010-01-01","2010-12-31"
"86","Basic earnings per share","iso4217_USD_per_shares","1.52","2008-01-01","2008-12-31"
"87","Basic earnings per share","iso4217_USD_per_shares","0.41","2009-01-01","2009-03-31"
"88","Basic earnings per share","iso4217_USD_per_shares","0.67","2010-01-01","2010-03-31"
"89","Basic earnings per share","iso4217_USD_per_shares","0.33","2009-04-01","2009-06-30"
"90","Basic earnings per share","iso4217_USD_per_shares","0.46","2010-04-01","2010-06-30"
"91","Basic earnings per share","iso4217_USD_per_shares","0.46","2009-07-01","2009-09-30"
"92","Basic earnings per share","iso4217_USD_per_shares","0.87","2009-10-01","2009-12-31"
"93","Basic earnings per share","iso4217_USD_per_shares","0.51","2010-07-01","2010-09-30"
"94","Basic earnings per share","iso4217_USD_per_shares","0.93","2010-10-01","2010-12-31"
"95","Diluted earnings per share","iso4217_USD_per_shares","2.04","2009-01-01","2009-12-31"
"96","Diluted earnings per share","iso4217_USD_per_shares","2.53","2010-01-01","2010-12-31"
"97","Diluted earnings per share","iso4217_USD_per_shares","1.49","2008-01-01","2008-12-31"
"98","Diluted earnings per share","iso4217_USD_per_shares","0.41","2009-01-01","2009-03-31"
"99","Diluted earnings per share","iso4217_USD_per_shares","0.66","2010-01-01","2010-03-31"
"100","Diluted earnings per share","iso4217_USD_per_shares","0.32","2009-04-01","2009-06-30"
"101","Diluted earnings per share","iso4217_USD_per_shares","0.45","2010-04-01","2010-06-30"
"102","Diluted earnings per share","iso4217_USD_per_shares","0.45","2009-07-01","2009-09-30"
"103","Diluted earnings per share","iso4217_USD_per_shares","0.85","2009-10-01","2009-12-31"
"104","Diluted earnings per share","iso4217_USD_per_shares","0.51","2010-07-01","2010-09-30"
"105","Diluted earnings per share","iso4217_USD_per_shares","0.91","2010-10-01","2010-12-31"
"106","Basic","shares","433000000","2009-01-01","2009-12-31"
"107","Basic","shares","447000000","2010-01-01","2010-12-31"
"108","Basic","shares","423000000","2008-01-01","2008-12-31"
"109","Basic","shares","429000000","2009-01-01","2009-03-31"
"110","Basic","shares","445000000","2010-01-01","2010-03-31"
"111","Basic","shares","431000000","2009-04-01","2009-06-30"
"112","Basic","shares","447000000","2010-04-01","2010-06-30"
"113","Basic","shares","432000000","2009-07-01","2009-09-30"
"114","Basic","shares","440000000","2009-10-01","2009-12-31"
"115","Basic","shares","448000000","2010-07-01","2010-09-30"
"116","Basic","shares","450000000","2010-10-01","2010-12-31"
"117","Diluted","shares","442000000","2009-01-01","2009-12-31"
"118","Diluted","shares","456000000","2010-01-01","2010-12-31"
"119","Diluted","shares","432000000","2008-01-01","2008-12-31"
"120","Diluted","shares","437000000","2009-01-01","2009-03-31"
"121","Diluted","shares","454000000","2010-01-01","2010-03-31"
"122","Diluted","shares","440000000","2009-04-01","2009-06-30"
"123","Diluted","shares","455000000","2010-04-01","2010-06-30"
"124","Diluted","shares","441000000","2009-07-01","2009-09-30"
"125","Diluted","shares","450000000","2009-10-01","2009-12-31"
"126","Diluted","shares","456000000","2010-07-01","2010-09-30"
"127","Diluted","shares","458000000","2010-10-01","2010-12-31"
