"","Metric","Units","Amount","startDate","endDate"
"1","Cash and Cash Equivalents, at Carrying Value","usd","10049000000",NA,"2011-12-31"
"2","Cash and Cash Equivalents, at Carrying Value","usd","10341000000",NA,"2012-12-31"
"3","Cash and Cash Equivalents, at Carrying Value","usd","9088000000",NA,"2013-12-31"
"4","Cash and Cash Equivalents, at Carrying Value","usd","11733000000",NA,"2014-12-31"
"5","Short-term Investments","usd","6170000000",NA,"2013-12-31"
"6","Short-term Investments","usd","1359000000",NA,"2014-12-31"
"7","Accounts Receivable, Net, Current","usd","6546000000",NA,"2013-12-31"
"8","Accounts Receivable, Net, Current","usd","7729000000",NA,"2014-12-31"
"9","Customer Financing Current","usd","344000000",NA,"2013-12-31"
"10","Customer Financing Current","usd","190000000",NA,"2014-12-31"
"11","Deferred Tax Assets, Net of Valuation Allowance, Current","usd","14000000",NA,"2013-12-31"
"12","Deferred Tax Assets, Net of Valuation Allowance, Current","usd","18000000",NA,"2014-12-31"
"13","Inventory, Net of Allowances, Customer Advances and Progress Billings","usd","42912000000",NA,"2013-12-31"
"14","Inventory, Net of Allowances, Customer Advances and Progress Billings","usd","46756000000",NA,"2014-12-31"
"15","Assets, Current","usd","65074000000",NA,"2013-12-31"
"16","Assets, Current","usd","67785000000",NA,"2014-12-31"
"17","Customer Financing, Noncurrent","usd","3627000000",NA,"2013-12-31"
"18","Customer Financing, Noncurrent","usd","3371000000",NA,"2014-12-31"
"19","Property, Plant and Equipment, Net","usd","10224000000",NA,"2013-12-31"
"20","Property, Plant and Equipment, Net","usd","11007000000",NA,"2014-12-31"
"21","Goodwill","usd","5035000000",NA,"2012-12-31"
"22","Goodwill","usd","5043000000",NA,"2013-12-31"
"23","Goodwill","usd","5119000000",NA,"2014-12-31"
"24","Intangible Assets, Net (Excluding Goodwill)","usd","3052000000",NA,"2013-12-31"
"25","Intangible Assets, Net (Excluding Goodwill)","usd","2869000000",NA,"2014-12-31"
"26","Deferred Tax Assets, Net of Valuation Allowance, Noncurrent","usd","2939000000",NA,"2013-12-31"
"27","Deferred Tax Assets, Net of Valuation Allowance, Noncurrent","usd","6576000000",NA,"2014-12-31"
"28","Long-term Investments","usd","1204000000",NA,"2013-12-31"
