"","Metric","Units","Amount","startDate","endDate"
"1","Cash and Due from Banks","usd","59602000000",NA,"2011-12-31"
"2","Cash and Due from Banks","usd","53723000000",NA,"2012-12-31"
"3","Cash and Due from Banks","usd","39771000000",NA,"2013-12-31"
"4","Cash and Due from Banks","usd","27831000000",NA,"2014-12-31"
"5","Interest-bearing Deposits in Banks and Other Financial Institutions","usd","316051000000",NA,"2013-12-31"
"6","Interest-bearing Deposits in Banks and Other Financial Institutions","usd","484477000000",NA,"2014-12-31"
"7","Federal Funds Sold and Securities Purchased under Agreements to Resell","usd","248116000000",NA,"2013-12-31"
"8","Federal Funds Sold and Securities Purchased under Agreements to Resell","usd","215803000000",NA,"2014-12-31"
"9","Securities Borrowed, Gross Including Not Subject to Master Netting Arrangement","usd","111465000000",NA,"2013-12-31"
"10","Securities Borrowed, Gross Including Not Subject to Master Netting Arrangement","usd","110435000000",NA,"2014-12-31"
"11","Trading Assets","usd","374664000000",NA,"2013-12-31"
"12","Trading Assets","usd","398988000000",NA,"2014-12-31"
"13","Available-for-sale Securities and Held-to-maturity Securities","usd","354003000000",NA,"2013-12-31"
"14","Available-for-sale Securities and Held-to-maturity Securities","usd","348004000000",NA,"2014-12-31"
"15","Loans and Leases Receivable, Net of Deferred Income","usd","738418000000",NA,"2013-12-31"
"16","Loans and Leases Receivable, Net of Deferred Income","usd","757336000000",NA,"2014-12-31"
"17","Loans and Leases Receivable, Allowance","usd","16264000000",NA,"2013-12-31"
"18","Loans and Leases Receivable, Allowance","usd","14185000000",NA,"2014-12-31"
"19","Loans and Leases Receivable, Net Amount","usd","722154000000",NA,"2013-12-31"
"20","Loans and Leases Receivable, Net Amount","usd","743151000000",NA,"2014-12-31"
"21","Accrued Interest and Accounts Receivable","usd","65160000000",NA,"2013-12-31"
"22","Accrued Interest and Accounts Receivable","usd","70079000000",NA,"2014-12-31"
"23","Property, Plant and Equipment, Net","usd","14891000000",NA,"2013-12-31"
"24","Property, Plant and Equipment, Net","usd","15133000000",NA,"2014-12-31"
"25","Goodwill","usd","48188000000",NA,"2011-12-31"
"26","Goodwill","usd","48175000000",NA,"2012-12-31"
"27","Goodwill","usd","48081000000",NA,"2013-12-31"
"28","Goodwill","usd","47647000000",NA,"2014-12-31"
"29","Servicing Asset at Fair Value, Amount","usd","7223000000",NA,"2011-12-31"
"30","Servicing Asset at Fair Value, Amount","usd","7614000000",NA,"2012-12-31"
"31","Servicing Asset at Fair Value, Amount","usd","9614000000",NA,"2013-12-31"
"32","Servicing Asset at Fair Value, Amount","usd","7436000000",NA,"2014-12-31"
"33","Other Intangible Assets, Net","usd","1618000000",NA,"2013-12-31"
"34","Other Intangible Assets, Net","usd","1192000000",NA,"2014-12-31"
"35","Other Assets","usd","110101000000",NA,"2013-12-31"
"36","Other Assets","usd","102950000000",NA,"2014-12-31"
"37","Assets","usd","2359141000000",NA,"2012-12-31"
"38","Assets","usd","2415689000000",NA,"2013-12-31"
"39","Assets","usd","2573126000000",NA,"2014-12-31"
"40","Deposits","usd","1287765000000",NA,"2013-12-31"
"41","Deposits","usd","1363427000000",NA,"2014-12-31"
"42","Federal Funds Purchased, Securities Sold Under Agreements to Repurchase","usd","181163000000",NA,"2013-12-31"
"43","Federal Funds Purchased, Securities Sold Under Agreements to Repurchase","usd","192101000000",NA,"2014-12-31"
"44","Commercial Paper","usd","57848000000",NA,"2013-12-31"
"45","Commercial Paper","usd","66344000000",NA,"2014-12-31"
"46","Other Short-term Borrowings","usd","27994000000",NA,"2013-12-31"
"47","Other Short-term Borrowings","usd","30222000000",NA,"2014-12-31"
"48","Trading Liabilities","usd","137744000000",NA,"2013-12-31"
"49","Trading Liabilities","usd","152815000000",NA,"2014-12-31"
"50","Accounts Payable and Accrued Liabilities","usd","194491000000",NA,"2013-12-31"
"51","Accounts Payable and Accrued Liabilities","usd","206954000000",NA,"2014-12-31"
"52","Beneficial Interest Liability","usd","49617000000",NA,"2013-12-31"
"53","Beneficial Interest Liability","usd","52362000000",NA,"2014-12-31"
"54","Long-term Debt and Capital Lease Obligations, Including Current Maturities","usd","267889000000",NA,"2013-12-31"
"55","Long-term Debt and Capital Lease Obligations, Including Current Maturities","usd","276836000000",NA,"2014-12-31"
"56","Liabilities","usd","2204511000000",NA,"2013-12-31"
"57","Liabilities","usd","2341061000000",NA,"2014-12-31"
"58","Commitments and Contingencies","usd",NA,NA,"2013-12-31"
"59","Commitments and Contingencies","usd",NA,NA,"2014-12-31"
"60","Preferred Stock, Including Additional Paid in Capital, Net of Discount","usd","11158000000",NA,"2013-12-31"
"61","Preferred Stock, Including Additional Paid in Capital, Net of Discount","usd","20063000000",NA,"2014-12-31"
"62","Common Stock, Value, Issued","usd","4105000000",NA,"2013-12-31"
"63","Common Stock, Value, Issued","usd","4105000000",NA,"2014-12-31"
"64","Additional Paid in Capital, Common Stock","usd","93828000000",NA,"2013-12-31"
"65","Additional Paid in Capital, Common Stock","usd","93270000000",NA,"2014-12-31"
"66","Retained Earnings (Accumulated Deficit)","usd","115756000000",NA,"2013-12-31"
"67","Retained Earnings (Accumulated Deficit)","usd","130315000000",NA,"2014-12-31"
"68","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","1199000000",NA,"2013-12-31"
"69","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","2189000000",NA,"2014-12-31"
"70","Common Stock Held in Trust","usd","21000000",NA,"2013-12-31"
"71","Common Stock Held in Trust","usd","21000000",NA,"2014-12-31"
"72","Treasury Stock, Value","usd","14847000000",NA,"2013-12-31"
"73","Treasury Stock, Value","usd","17856000000",NA,"2014-12-31"
"74","Stockholders' Equity Attributable to Parent","usd","211178000000",NA,"2013-12-31"
"75","Stockholders' Equity Attributable to Parent","usd","232065000000",NA,"2014-12-31"
"76","Liabilities and Equity","usd","2415689000000",NA,"2013-12-31"
"77","Liabilities and Equity","usd","2573126000000",NA,"2014-12-31"
