"","Metric","Units","Amount","startDate","endDate"
"1","Equity in earnings of unconsolidated affiliates","iso4217_USD","-7000000","2009-10-01","2010-09-30"
"2","Equity in earnings of unconsolidated affiliates","iso4217_USD","1000000","2007-10-01","2008-09-30"
"3","Interest Expense","iso4217_USD","115000000","2008-10-01","2009-09-30"
"4","Interest Expense","iso4217_USD","72000000","2009-10-01","2010-09-30"
"5","Interest Expense","iso4217_USD","143000000","2007-10-01","2008-09-30"
"6","Investment income, net (Note 5)","iso4217_USD","575000000","2008-10-01","2009-09-30"
"7","Investment income, net (Note 5)","iso4217_USD","49000000","2009-10-01","2010-09-30"
"8","Investment income, net (Note 5)","iso4217_USD","211000000","2007-10-01","2008-09-30"
"9","Other Nonoperating Income (Expense)","iso4217_USD","2000000","2008-10-01","2009-09-30"
"10","Other Nonoperating Income (Expense)","iso4217_USD","79000000","2009-10-01","2010-09-30"
"11","Other Nonoperating Income (Expense)","iso4217_USD","35000000","2007-10-01","2008-09-30"
"12","Total other income","iso4217_USD","462000000","2008-10-01","2009-09-30"
"13","Total other income","iso4217_USD","49000000","2009-10-01","2010-09-30"
"14","Total other income","iso4217_USD","104000000","2007-10-01","2008-09-30"
"15","Personnel","iso4217_USD","1228000000","2008-10-01","2009-09-30"
"16","Personnel","iso4217_USD","1222000000","2009-10-01","2010-09-30"
"17","Personnel","iso4217_USD","1314000000","2007-10-01","2008-09-30"
"18","Network, EDP and communications","iso4217_USD","393000000","2008-10-01","2009-09-30"
"19","Network, EDP and communications","iso4217_USD","425000000","2009-10-01","2010-09-30"
"20","Network, EDP and communications","iso4217_USD","339000000","2007-10-01","2008-09-30"
"21","Advertising, marketing and promotion","iso4217_USD","918000000","2008-10-01","2009-09-30"
"22","Advertising, marketing and promotion","iso4217_USD","964000000","2009-10-01","2010-09-30"
"23","Advertising, marketing and promotion","iso4217_USD","1016000000","2007-10-01","2008-09-30"
"24","Professional and consulting fees","iso4217_USD","268000000","2008-10-01","2009-09-30"
"25","Professional and consulting fees","iso4217_USD","286000000","2009-10-01","2010-09-30"
"26","Professional and consulting fees","iso4217_USD","323000000","2007-10-01","2008-09-30"
"27","Depreciation and amortization","iso4217_USD","226000000","2008-10-01","2009-09-30"
"28","Depreciation and amortization","iso4217_USD","265000000","2009-10-01","2010-09-30"
"29","Depreciation and amortization","iso4217_USD","237000000","2007-10-01","2008-09-30"
"30","Administrative and other","iso4217_USD","338000000","2008-10-01","2009-09-30"
"31","Administrative and other","iso4217_USD","359000000","2009-10-01","2010-09-30"
"32","Administrative and other","iso4217_USD","332000000","2007-10-01","2008-09-30"
"33","Litigation provision","iso4217_USD","-2000000","2008-10-01","2009-09-30"
"34","Litigation provision","iso4217_USD","45000000","2009-10-01","2010-09-30"
"35","Litigation provision","iso4217_USD","-1470000000","2007-10-01","2008-09-30"
"36","Total operating expenses","iso4217_USD","3373000000","2008-10-01","2009-09-30"
"37","Total operating expenses","iso4217_USD","3476000000","2009-10-01","2010-09-30"
"38","Total operating expenses","iso4217_USD","5031000000","2007-10-01","2008-09-30"
"39","Service revenues","iso4217_USD","3174000000","2008-10-01","2009-09-30"
"40","Service revenues","iso4217_USD","3497000000","2009-10-01","2010-09-30"
"41","Service revenues","iso4217_USD","3061000000","2007-10-01","2008-09-30"
"42","Data processing revenues","iso4217_USD","2430000000","2008-10-01","2009-09-30"
"43","Data processing revenues","iso4217_USD","3125000000","2009-10-01","2010-09-30"
"44","Data processing revenues","iso4217_USD","2073000000","2007-10-01","2008-09-30"
"45","International transaction revenues","iso4217_USD","1916000000","2008-10-01","2009-09-30"
"46","International transaction revenues","iso4217_USD","2290000000","2009-10-01","2010-09-30"
"47","International transaction revenues","iso4217_USD","1721000000","2007-10-01","2008-09-30"
"48","Other revenues","iso4217_USD","625000000","2008-10-01","2009-09-30"
"49","Other revenues","iso4217_USD","713000000","2009-10-01","2010-09-30"
"50","Other revenues","iso4217_USD","569000000","2007-10-01","2008-09-30"
"51","Volume and support incentives","iso4217_USD","1234000000","2008-10-01","2009-09-30"
"52","Volume and support incentives","iso4217_USD","1560000000","2009-10-01","2010-09-30"
"53","Volume and support incentives","iso4217_USD","1161000000","2007-10-01","2008-09-30"
"54","Total operating revenues","iso4217_USD","6911000000","2008-10-01","2009-09-30"
"55","Total operating revenues","iso4217_USD","8065000000","2009-10-01","2010-09-30"
"56","Total operating revenues","iso4217_USD","6263000000","2007-10-01","2008-09-30"
"57","Operating income","iso4217_USD","3538000000","2008-10-01","2009-09-30"
"58","Operating income","iso4217_USD","4589000000","2009-10-01","2010-09-30"
"59","Operating income","iso4217_USD","1232000000","2007-10-01","2008-09-30"
"60","Income before income taxes","iso4217_USD","4000000000","2008-10-01","2009-09-30"
"61","Income before income taxes","iso4217_USD","4638000000","2009-10-01","2010-09-30"
"62","Income before income taxes","iso4217_USD","1336000000","2007-10-01","2008-09-30"
"63","Income tax expense","iso4217_USD","1648000000","2008-10-01","2009-09-30"
