"","Metric","Units","Amount","startDate","endDate"
"1","Sales and other operating revenue, including sales-based taxes","Unit12","301500000000","2009-01-01","2009-12-31"
"2","Sales and other operating revenue, including sales-based taxes","Unit12","370125000000","2010-01-01","2010-12-31"
"3","Sales and other operating revenue, including sales-based taxes","Unit12","467029000000","2011-01-01","2011-12-31"
"4","Income from equity affiliates","Unit12","7143000000","2009-01-01","2009-12-31"
"5","Income from equity affiliates","Unit12","10677000000","2010-01-01","2010-12-31"
"6","Income from equity affiliates","Unit12","15289000000","2011-01-01","2011-12-31"
"7","Other income (2)","Unit12","1943000000","2009-01-01","2009-12-31"
"8","Other income (2)","Unit12","2419000000","2010-01-01","2010-12-31"
"9","Other income (2)","Unit12","4111000000","2011-01-01","2011-12-31"
"10","Total revenues and other income","Unit12","310586000000","2009-01-01","2009-12-31"
"11","Total revenues and other income","Unit12","383221000000","2010-01-01","2010-12-31"
"12","Total revenues and other income","Unit12","486429000000","2011-01-01","2011-12-31"
"13","Crude oil and product purchases","Unit12","152806000000","2009-01-01","2009-12-31"
"14","Crude oil and product purchases","Unit12","197959000000","2010-01-01","2010-12-31"
"15","Crude oil and product purchases","Unit12","266534000000","2011-01-01","2011-12-31"
"16","Production and manufacturing expenses","Unit12","33027000000","2009-01-01","2009-12-31"
"17","Production and manufacturing expenses","Unit12","35792000000","2010-01-01","2010-12-31"
"18","Production and manufacturing expenses","Unit12","40268000000","2011-01-01","2011-12-31"
"19","Selling, general and administrative expenses","Unit12","14735000000","2009-01-01","2009-12-31"
"20","Selling, general and administrative expenses","Unit12","14683000000","2010-01-01","2010-12-31"
"21","Selling, general and administrative expenses","Unit12","14983000000","2011-01-01","2011-12-31"
"22","Depreciation and depletion","Unit12","11917000000","2009-01-01","2009-12-31"
"23","Depreciation and depletion","Unit12","14760000000","2010-01-01","2010-12-31"
"24","Depreciation and depletion","Unit12","15583000000","2011-01-01","2011-12-31"
"25","Exploration expenses, including dry holes","Unit12","2021000000","2009-01-01","2009-12-31"
"26","Exploration expenses, including dry holes","Unit12","2144000000","2010-01-01","2010-12-31"
"27","Exploration expenses, including dry holes","Unit12","2081000000","2011-01-01","2011-12-31"
"28","Interest expense","Unit12","548000000","2009-01-01","2009-12-31"
"29","Interest expense","Unit12","259000000","2010-01-01","2010-12-31"
"30","Interest expense","Unit12","247000000","2011-01-01","2011-12-31"
"31","Sales and other operating revenue, sales-based taxes","Unit12","25936000000","2009-01-01","2009-12-31"
"32","Sales and other operating revenue, sales-based taxes","Unit12","28547000000","2010-01-01","2010-12-31"
"33","Sales and other operating revenue, sales-based taxes","Unit12","33503000000","2011-01-01","2011-12-31"
"34","Taxes other","Unit12","34819000000","2009-01-01","2009-12-31"
"35","Taxes other","Unit12","36118000000","2010-01-01","2010-12-31"
"36","Taxes other","Unit12","39973000000","2011-01-01","2011-12-31"
"37","Costs And Expenses","Unit12","275809000000","2009-01-01","2009-12-31"
"38","Costs And Expenses","Unit12","330262000000","2010-01-01","2010-12-31"
"39","Costs And Expenses","Unit12","413172000000","2011-01-01","2011-12-31"
"40","Income Including Equity Affiliate Earnings Before Income Taxes","Unit12","34777000000","2009-01-01","2009-12-31"
"41","Income Including Equity Affiliate Earnings Before Income Taxes","Unit12","52959000000","2010-01-01","2010-12-31"
"42","Income Including Equity Affiliate Earnings Before Income Taxes","Unit12","73257000000","2011-01-01","2011-12-31"
"43","Income taxes","Unit12","15119000000","2009-01-01","2009-12-31"
"44","Income taxes","Unit12","21561000000","2010-01-01","2010-12-31"
"45","Income taxes","Unit12","31051000000","2011-01-01","2011-12-31"
"46","Net income for the year","Unit12","19658000000","2009-01-01","2009-12-31"
"47","Net income for the year","Unit12","31398000000","2010-01-01","2010-12-31"
"48","Net income for the year","Unit12","42206000000","2011-01-01","2011-12-31"
"49","Net income attributable to noncontrolling interests","Unit12","378000000","2009-01-01","2009-12-31"
"50","Net income attributable to noncontrolling interests","Unit12","938000000","2010-01-01","2010-12-31"
"51","Net income attributable to noncontrolling interests","Unit12","1146000000","2011-01-01","2011-12-31"
"52","Net income attributable to ExxonMobil","Unit12","19280000000","2009-01-01","2009-12-31"
"53","Net income attributable to ExxonMobil","Unit12","30460000000","2010-01-01","2010-12-31"
"54","Net income attributable to ExxonMobil","Unit12","41060000000","2011-01-01","2011-12-31"
"55","Earnings per common share (dollars)","Unit13","3.99","2009-01-01","2009-12-31"
"56","Earnings per common share (dollars)","Unit13","6.24","2010-01-01","2010-12-31"
"57","Earnings per common share (dollars)","Unit13","8.43","2011-01-01","2011-12-31"
"58","Earnings per common share - assuming dilution (dollars)","Unit13","3.98","2009-01-01","2009-12-31"
"59","Earnings per common share - assuming dilution (dollars)","Unit13","6.22","2010-01-01","2010-12-31"
"60","Earnings per common share - assuming dilution (dollars)","Unit13","8.42","2011-01-01","2011-12-31"
